coach_id,play_calling,game_management,player_development,talent_evaluation,leadership,adaptability,aggressiveness,discipline,motivation,staff_management,scheme_innovation,clock_management,data_class
CCH0396,55,71,54,74,62,59,64,77,53,41,61,62,MODELED
CCH0397,55,69,71,72,69,67,78,60,74,61,70,77,MODELED
CCH0398,42,56,72,63,67,50,57,61,63,70,74,77,MODELED
CCH0399,33,50,73,58,39,65,56,73,53,59,51,67,MODELED
CCH0400,48,63,61,74,68,62,66,65,77,60,64,42,MODELED
CCH0401,55,82,92,71,94,82,93,80,90,76,67,78,MODELED
CCH0402,50,57,65,67,58,59,59,61,86,60,53,68,MODELED
CCH0403,72,97,96,73,77,97,86,96,74,76,93,79,MODELED
CCH0404,40,60,51,54,50,26,50,53,50,66,74,64,MODELED
CCH0405,37,58,65,55,53,59,47,55,62,62,66,61,MODELED
CCH0406,88,90,75,74,85,73,91,94,84,92,74,89,MODELED
CCH0407,72,55,48,54,74,52,62,60,35,63,74,55,MODELED
CCH0408,85,86,67,75,82,77,64,68,82,77,89,70,MODELED
CCH0409,74,71,54,68,75,56,80,80,52,57,53,53,MODELED
CCH0410,50,69,73,88,72,56,55,66,89,59,70,67,MODELED
CCH0411,37,49,67,54,31,56,49,47,46,57,42,32,MODELED
CCH0412,60,57,74,69,68,51,57,57,68,64,54,47,MODELED
CCH0413,59,67,55,49,62,64,54,67,76,66,52,62,MODELED
CCH0414,50,57,59,67,56,46,72,60,56,47,69,41,MODELED
CCH0415,28,67,74,58,69,74,66,68,53,57,59,63,MODELED
CCH0416,50,57,52,45,60,44,47,51,55,66,56,70,MODELED
CCH0417,24,48,67,56,45,69,64,51,60,43,61,42,MODELED
CCH0418,65,72,85,61,72,64,79,72,67,82,69,84,MODELED
CCH0419,54,62,72,71,75,79,67,73,73,73,72,64,MODELED
CCH0420,48,56,65,51,66,71,56,53,60,67,64,55,MODELED
CCH0421,77,84,77,99,99,84,81,77,72,89,75,95,MODELED
CCH0422,69,50,64,54,63,64,67,60,44,44,65,58,MODELED
CCH0423,65,64,72,68,80,64,59,86,87,49,80,68,MODELED
CCH0424,83,68,79,64,66,72,76,65,77,80,78,67,MODELED
CCH0425,36,57,64,54,48,73,46,42,54,59,61,68,MODELED
CCH0426,46,51,73,39,53,64,33,40,47,63,56,60,MODELED
CCH0427,49,60,56,60,57,66,48,77,56,64,64,58,MODELED
CCH0428,42,58,71,47,45,64,58,46,54,52,63,68,MODELED
CCH0429,60,45,41,38,46,43,57,56,51,57,40,56,MODELED
CCH0430,45,44,62,63,48,46,36,63,50,50,57,50,MODELED
CCH0431,43,59,53,59,50,56,50,44,60,60,58,74,MODELED
CCH0432,57,66,90,65,79,57,61,60,76,69,85,69,MODELED
CCH0433,53,58,79,67,48,53,55,57,64,45,63,54,MODELED
CCH0434,49,57,84,60,63,59,64,69,45,63,69,48,MODELED
CCH0435,38,41,66,23,47,26,51,52,49,40,42,48,MODELED
CCH0436,75,99,75,80,75,77,89,84,96,95,71,99,MODELED
CCH0437,86,79,89,75,80,89,80,70,74,86,85,78,MODELED
CCH0438,94,73,85,71,74,80,80,70,69,85,88,77,MODELED
CCH0439,83,85,74,89,75,70,60,75,72,78,82,61,MODELED
CCH0440,48,75,68,67,56,61,52,59,66,67,64,62,MODELED
CCH0441,49,52,53,45,50,53,68,45,39,49,57,49,MODELED
CCH0442,49,65,71,75,69,95,79,74,80,68,68,63,MODELED
CCH0443,62,81,80,60,70,69,59,61,70,71,59,72,MODELED
CCH0444,50,65,81,77,53,53,62,57,56,60,47,51,MODELED
CCH0445,60,84,60,71,68,80,81,67,74,68,56,61,MODELED
CCH0446,45,63,63,53,62,66,49,58,67,66,71,65,MODELED
CCH0447,53,54,92,63,54,69,67,64,63,75,55,52,MODELED
CCH0448,38,62,71,53,52,54,48,57,65,46,60,61,MODELED
CCH0449,52,72,51,52,55,72,69,69,69,75,58,57,MODELED
CCH0450,70,51,61,77,65,82,66,59,51,66,62,66,MODELED
CCH0451,82,86,91,97,95,61,76,89,66,77,76,63,MODELED
CCH0452,86,67,77,67,85,80,70,84,82,76,88,83,MODELED
CCH0453,99,82,79,97,99,64,99,87,87,95,95,82,MODELED
CCH0454,61,59,54,50,49,60,70,47,58,49,66,64,MODELED
CCH0455,52,42,60,39,58,70,63,61,60,44,63,69,MODELED
CCH0456,54,78,82,81,65,88,83,87,86,75,78,71,MODELED
CCH0457,42,47,65,55,65,63,57,48,48,64,48,62,MODELED
CCH0458,52,58,61,45,80,69,54,42,34,55,68,58,MODELED
CCH0459,57,78,86,81,77,75,77,79,70,92,74,75,MODELED
CCH0460,56,67,74,77,75,70,49,62,81,79,80,63,MODELED
CCH0461,50,64,70,52,66,61,51,59,63,55,45,60,MODELED
CCH0462,52,65,66,66,55,60,51,64,81,64,60,68,MODELED
CCH0463,52,58,76,60,66,73,58,82,66,57,63,59,MODELED
CCH0464,52,51,65,58,44,59,57,54,57,48,60,55,MODELED
CCH0465,48,71,91,73,64,71,58,80,78,70,78,73,MODELED
CCH0466,99,99,94,81,99,91,81,99,78,99,87,98,MODELED
CCH0467,71,51,51,56,43,41,44,51,54,51,65,35,MODELED
CCH0468,81,68,59,67,65,65,60,58,34,47,77,53,MODELED
CCH0469,76,67,50,73,65,56,51,63,79,59,76,78,MODELED
CCH0470,46,61,71,63,58,62,59,68,83,61,75,64,MODELED
CCH0471,51,85,73,74,83,80,66,82,81,89,74,81,MODELED
CCH0472,59,80,82,69,84,72,50,82,61,80,77,69,MODELED
CCH0473,42,44,69,54,50,58,67,57,58,60,53,51,MODELED
CCH0474,36,33,44,54,37,37,44,42,52,50,33,33,MODELED
CCH0475,45,61,65,66,62,68,58,51,64,51,69,46,MODELED
CCH0476,48,65,76,66,64,60,65,75,61,67,62,67,MODELED
CCH0477,59,60,78,70,59,78,53,77,65,58,77,70,MODELED
CCH0478,45,67,56,50,51,61,51,62,48,46,59,52,MODELED
CCH0479,56,63,65,80,62,62,75,59,55,58,48,57,MODELED
CCH0480,53,63,58,50,84,63,66,76,64,58,72,70,MODELED
CCH0481,44,76,71,74,73,53,75,70,60,58,66,63,MODELED
CCH0482,32,74,70,50,72,60,38,67,61,64,77,87,MODELED
CCH0483,25,45,54,31,50,49,27,41,48,51,24,50,MODELED
CCH0484,65,71,89,71,56,72,79,72,79,75,74,85,MODELED
CCH0485,66,65,63,58,81,52,62,65,62,74,51,77,MODELED
CCH0486,73,69,64,77,68,75,73,49,53,80,78,60,MODELED
CCH0487,92,79,59,55,60,52,60,65,72,67,75,69,MODELED
CCH0488,64,70,73,75,71,61,72,78,58,66,61,58,MODELED
CCH0489,56,56,53,56,55,63,40,61,50,71,63,49,MODELED
CCH0490,88,79,93,83,87,96,86,75,91,73,93,86,MODELED
CCH0491,65,69,63,63,53,66,64,65,79,45,74,54,MODELED
CCH0492,52,73,69,58,58,57,66,63,67,48,62,57,MODELED
CCH0493,77,61,62,75,79,69,77,73,62,72,67,56,MODELED
CCH0494,56,72,72,61,56,72,56,77,59,70,90,76,MODELED
CCH0495,17,28,42,39,40,42,56,40,43,30,52,48,MODELED
CCH0496,71,71,44,58,67,60,63,59,55,54,61,58,MODELED
CCH0497,44,86,55,56,74,61,52,56,72,66,66,88,MODELED
CCH0498,72,48,73,79,71,75,72,50,52,57,67,59,MODELED
CCH0499,63,67,68,53,68,51,56,66,45,65,61,63,MODELED
CCH0500,58,72,64,43,53,67,81,55,45,60,57,48,MODELED
CCH0501,28,51,53,32,45,57,57,46,29,53,40,50,MODELED
CCH0502,35,52,46,50,43,43,34,48,53,49,53,69,MODELED
CCH0503,49,52,57,72,49,52,54,51,59,65,75,65,MODELED
CCH0504,40,52,73,60,63,62,59,55,67,63,49,61,MODELED
CCH0505,52,67,69,60,63,73,79,68,72,76,79,70,MODELED
CCH0506,66,65,61,54,76,59,75,59,71,46,49,63,MODELED
CCH0507,49,63,63,63,54,61,63,57,63,59,64,75,MODELED
CCH0508,70,68,61,67,66,63,73,59,63,67,59,68,MODELED
CCH0509,71,86,78,71,59,69,67,74,56,68,69,84,MODELED
CCH0510,59,55,64,39,51,55,47,56,61,60,61,37,MODELED
CCH0511,70,57,62,59,67,53,64,60,68,59,71,73,MODELED
CCH0512,61,62,54,68,64,61,60,57,71,55,64,44,MODELED
CCH0513,51,49,69,43,51,54,56,59,48,44,72,61,MODELED
CCH0514,40,63,80,44,73,57,38,58,73,64,60,56,MODELED
CCH0515,63,54,44,53,58,62,53,50,53,79,59,43,MODELED
CCH0516,75,69,59,83,88,70,78,72,99,79,60,86,MODELED
CCH0517,46,77,57,62,60,71,66,63,80,64,62,61,MODELED
CCH0518,68,90,78,71,82,72,86,62,76,63,62,69,MODELED
CCH0519,79,58,79,80,73,62,57,76,64,63,54,57,MODELED
CCH0520,71,76,99,82,75,87,76,82,77,75,80,67,MODELED
CCH0521,60,60,57,77,67,87,68,71,73,73,57,71,MODELED
CCH0522,67,59,76,67,65,61,69,63,46,66,50,46,MODELED
CCH0523,43,47,49,33,41,40,43,57,46,49,46,47,MODELED
CCH0524,63,50,59,56,49,45,59,71,66,53,61,53,MODELED
CCH0525,47,56,71,58,54,43,58,68,62,59,62,58,MODELED
CCH0526,51,76,77,65,65,72,65,69,70,70,77,60,MODELED
