pick_id,draft_year,round,pick_in_round,overall_pick,original_team_id,current_owner_team_id,compensatory,data_class
DP2028R6P31,2028,6,31,191,PIT,PIT,0,GENERATED
DP2028R6P32,2028,6,32,192,DET,DET,0,GENERATED
DP2028R7P01,2028,7,1,193,MIA,MIA,0,GENERATED
DP2028R7P02,2028,7,2,194,BUF,BUF,0,GENERATED
DP2028R7P03,2028,7,3,195,HOU,HOU,0,GENERATED
DP2028R7P04,2028,7,4,196,NE,NE,0,GENERATED
DP2028R7P05,2028,7,5,197,NYG,MIN,0,GENERATED
DP2028R7P06,2028,7,6,198,LAC,LAC,0,GENERATED
DP2028R7P07,2028,7,7,199,BAL,BAL,0,GENERATED
DP2028R7P08,2028,7,8,200,ARI,ARI,0,GENERATED
DP2028R7P09,2028,7,9,201,WAS,WAS,0,GENERATED
DP2028R7P10,2028,7,10,202,DAL,BAL,0,GENERATED
DP2028R7P11,2028,7,11,203,CHI,CHI,0,GENERATED
DP2028R7P12,2028,7,12,204,IND,IND,0,GENERATED
DP2028R7P13,2028,7,13,205,TB,TB,0,GENERATED
DP2028R7P14,2028,7,14,206,PHI,PHI,0,GENERATED
DP2028R7P15,2028,7,15,207,CLE,CLE,0,GENERATED
DP2028R7P16,2028,7,16,208,SEA,SEA,0,GENERATED
DP2028R7P17,2028,7,17,209,CIN,LAC,0,GENERATED
DP2028R7P18,2028,7,18,210,MIN,MIN,0,GENERATED
DP2028R7P19,2028,7,19,211,LAR,LAR,0,GENERATED
DP2028R7P20,2028,7,20,212,JAX,JAX,0,GENERATED
DP2028R7P21,2028,7,21,213,NYJ,NYJ,0,GENERATED
DP2028R7P22,2028,7,22,214,TEN,TEN,0,GENERATED
DP2028R7P23,2028,7,23,215,DEN,DEN,0,GENERATED
DP2028R7P24,2028,7,24,216,LV,LV,0,GENERATED
DP2028R7P25,2028,7,25,217,ATL,LV,0,GENERATED
DP2028R7P26,2028,7,26,218,SF,SF,0,GENERATED
DP2028R7P27,2028,7,27,219,GB,GB,0,GENERATED
DP2028R7P28,2028,7,28,220,NO,SF,0,GENERATED
DP2028R7P29,2028,7,29,221,CAR,CAR,0,GENERATED
DP2028R7P30,2028,7,30,222,KC,KC,0,GENERATED
DP2028R7P31,2028,7,31,223,PIT,PIT,0,GENERATED
DP2028R7P32,2028,7,32,224,DET,DET,0,GENERATED
